block,total_hr,ID_NCBA_BLOCK,ID_BLOCK_CODE,PRIORITY_BLOCK
DILLARD-NW,0.0,DILLARD-NW,34083H4NW,0
AURORA-CE,0.5,DOBBERSVILLE-CW,35078B2CW,0
AURORA-CW,0.2,DOBBERSVILLE-NW,35078B2NW,0
DOBBERSVILLE-SE,0.1,DOBBERSVILLE-SE,35078B2SE,1
DOBBERSVILLE-SW,0.0,DOBBERSVILLE-SW,35078B2SW,0
DOBSON-CE,25.1,DOBSON-CE,36080D6CE,0
DOBSON-CW,6.9,DOBSON-CW,36080D6CW,0
DOBSON-NE,1.5,DOBSON-NE,36080D6NE,0
DOBSON-NW,0.3,DOBSON-NW,36080D6NW,0
DOBSON-SW,5.9,DOBSON-SW,36080D6SW,0
DOVER-CE,0.0,DOVER-CE,35077B4CE,0
DOVER-NE,1.0,DOVER-NE,35077B4NE,0
DOVER-NW,0.4,DOVER-NW,35077B4NW,0
DOVER-SW,5.0,DOVER-SW,35077B4SW,0
DRAKE-CE,0.1,DRAKE-CE,36077A7CE,0
DRAKE-CW,3.0,DRAKE-CW,36077A7CW,0
DRAKE-NE,25.3,DRAKE-NE,36077A7NE,0
DRAKE-SE,24.3,DRAKE-SE,36077A7SE,1
DRAKE-SW,1.4,DRAKE-SW,36077A7SW,0
DRAUGHN-CE,0.0,DRAUGHN-CE,36077A5CE,0
AURORA-NE,0.0,DRAUGHN-NE,36077A5NE,0
DRAUGHN-NW,0.0,DRAUGHN-NW,36077A5NW,0
DRAUGHN-SE,0.5,DRAUGHN-SE,36077A5SE,1
DREXEL-CE,0.5,DREXEL-CE,35081G5CE,0
DREXEL-CW,0.7,DREXEL-CW,35081G5CW,0
DREXEL-NE,0.1,DREXEL-NE,35081G5NE,0
AURORA-NW,0.0,DREXEL-NW,35081G5NW,0
DREXEL-SE,4.1,DREXEL-SE,35081G5SE,1
DREXEL-SW,3.3,DREXEL-SW,35081G5SW,0
DUART-CE,0.1,DUART-CE,34078G7CE,0
DUART-CW,0.2,DUART-CW,34078G7CW,0
DUART-NE,0.0,DUART-NE,34078G7NE,0
DUART-NW,1.2,DUART-NW,34078G7NW,0
DUART-SE,4.5,DUART-SE,34078G7SE,1
DUART-SW,0.4,DUART-SW,34078G7SW,0
DUBLIN-CW,3.4,DUBLIN-CW,34078F6CW,0
DUBLIN-NW,0.0,DUBLIN-NW,34078F6NW,0
DUBLIN-SE,1.9,DUBLIN-SE,34078F6SE,1
AURORA-SE,4.5,DUBLIN-SW,34078F6SW,1
DUNN-CW,0.6,DUNN-CW,35078C5CW,0
DUNN-NE,0.0,DUNN-NE,35078C5NE,0
DUNN-NW,0.0,DUNN-NW,35078C5NW,0
DUNN-SE,0.0,DUNN-SE,35078C5SE,1
DUNN-SW,0.0,DUNN-SW,35078C5SW,0
DUNSMORE_MOUNTAIN-CE,34.3,DUNSMORE_MOUNTAIN-CE,35082D6CE,0
DUNSMORE_MOUNTAIN-CW,94.2,DUNSMORE_MOUNTAIN-CW,35082D6CW,0
DUNSMORE_MOUNTAIN-NE,67.3,DUNSMORE_MOUNTAIN-NE,35082D6NE,0
DUNSMORE_MOUNTAIN-NW,3.3,DUNSMORE_MOUNTAIN-NW,35082D6NW,0
DUNSMORE_MOUNTAIN-SE,35.9,DUNSMORE_MOUNTAIN-SE,35082D6SE,1
DUNSMORE_MOUNTAIN-SW,57.4,DUNSMORE_MOUNTAIN-SW,35082D6SW,0
DYSARTSVILLE-CE,0.1,DYSARTSVILLE-CE,35081E7CE,0
DYSARTSVILLE-CW,10.5,DYSARTSVILLE-CW,35081E7CW,0
DYSARTSVILLE-NW,0.0,DYSARTSVILLE-NW,35081E7NW,0
DYSARTSVILLE-SE,0.1,DYSARTSVILLE-SE,35081E7SE,1
DYSARTSVILLE-SW,0.3,DYSARTSVILLE-SW,35081E7SW,0
EAST_BEND-CE,0.1,EAST_BEND-CE,36080B5CE,0
EAST_BEND-NW,0.1,EAST_BEND-NW,36080B5NW,0
EAST_BEND-SE,10.1,EAST_BEND-SE,36080B5SE,1
EAST_BEND-SW,0.0,EAST_BEND-SW,36080B5SW,0
EAST_LAKE_SE-CE,7.2,EAST_LAKE_SE-CE,35075G7CE,0
EAST_LAKE_SE-CW,121.3,EAST_LAKE_SE-CW,35075G7CW,0
EAST_LAKE_SE-NE,0.0,EAST_LAKE_SE-NE,35075G7NE,0
EAST_LAKE_SE-NW,418.0,EAST_LAKE_SE-NW,35075G7NW,0
